% x,y,c (mol/m^3) @ t=0,c (mol/m^3) @ t=100,c (mol/m^3) @ t=200,c (mol/m^3) @ t=300,c (mol/m^3) @ t=400,c (mol/m^3) @ t=500,c (mol/m^3) @ t=600,c (mol/m^3) @ t=700,c (mol/m^3) @ t=800,c (mol/m^3) @ t=900,c (mol/m^3) @ t=1000,c (mol/m^3) @ t=1100,c (mol/m^3) @ t=1200,c (mol/m^3) @ t=1300,c (mol/m^3) @ t=1400,c (mol/m^3) @ t=1500,c (mol/m^3) @ t=1600,c (mol/m^3) @ t=1700,c (mol/m^3) @ t=1800,c (mol/m^3) @ t=1900,c (mol/m^3) @ t=2000,c (mol/m^3) @ t=2100,c (mol/m^3) @ t=2200,c (mol/m^3) @ t=2300,c (mol/m^3) @ t=2400,c (mol/m^3) @ t=2500,c (mol/m^3) @ t=2600,c (mol/m^3) @ t=2700,c (mol/m^3) @ t=2800,c (mol/m^3) @ t=2900,c (mol/m^3) @ t=3000
0,59.99988,0.00152533,0.00157795,0.001634413,0.001695408,0.001761147,0.001833354,0.001911421,0.001995902,0.002090424,0.002192997,0.002304741,0.002432976,0.002573689,0.002729054,0.002913302,0.00311863,0.003349885,0.003638799,0.003967972,0.004351031,0.004877166,0.005497468,0.006273184,0.00760512,0.009273492,0.011331875,0.014469376,0.020081518,0.032579829,0.071042971,3.74E+09
0,0,0.001535533,0.001588505,0.001645346,0.001706749,0.001772927,0.001845617,0.001924206,0.002009253,0.002104407,0.002207666,0.002320157,0.00244925,0.002590904,0.002747308,0.002932789,0.00313949,0.003372292,0.003663139,0.003994513,0.004380135,0.004909789,0.00553424,0.006315145,0.00765599,0.009335522,0.011407673,0.014566161,0.020215843,0.032797755,0.071518181,3.74E+09
38.8600002,40.57360491,0.001530859,0.001583669,0.001640337,0.001701554,0.00176753,0.001839999,0.001918349,0.002003137,0.002098001,0.002200946,0.002313094,0.002441795,0.002583018,0.002738946,0.002923862,0.003129934,0.003362027,0.003651988,0.003982354,0.004366802,0.004894844,0.005517394,0.006295922,0.007632686,0.009307105,0.011372949,0.014521822,0.020154307,0.03269792,0.07130048,3.74E+09
60,0,0.001535533,0.001588505,0.001645346,0.001706749,0.001772927,0.001845617,0.001924206,0.002009253,0.002104407,0.002207666,0.002320157,0.00244925,0.002590904,0.002747308,0.002932789,0.00313949,0.003372292,0.003663139,0.003994513,0.004380135,0.004909789,0.00553424,0.006315145,0.00765599,0.009335521,0.011407673,0.014566161,0.020215842,0.032797753,0.071518174,3.74E+09
0,119.99976,0.001495126,0.001546704,0.001602049,0.001661837,0.001726274,0.001797051,0.001873572,0.001956381,0.002049031,0.002149573,0.002259104,0.0023848,0.002522727,0.002675015,0.002855615,0.003056877,0.003283553,0.003566746,0.003889401,0.004264875,0.004780591,0.005388611,0.006148966,0.007454529,0.009089864,0.011107489,0.014182863,0.019683878,0.031934706,0.069636231,3.74E+09
44.49525814,90.29632983,0.001512522,0.0015647,0.001620689,0.001681172,0.001746359,0.001817959,0.001895371,0.001979143,0.002072871,0.002174583,0.002285388,0.002412547,0.002552078,0.002706138,0.002888839,0.003092443,0.003321757,0.003608245,0.003934653,0.004314496,0.004836213,0.005451306,0.006220509,0.007541261,0.009195623,0.011236723,0.014347879,0.019912897,0.032306262,0.070446442,3.74E+09
120,0,0.001535533,0.001588505,0.001645346,0.001706749,0.001772927,0.001845617,0.001924206,0.002009253,0.002104407,0.002207666,0.002320157,0.00244925,0.002590904,0.002747308,0.002932789,0.00313949,0.003372292,0.003663139,0.003994513,0.004380135,0.004909789,0.00553424,0.006315145,0.00765599,0.009335522,0.011407673,0.014566161,0.020215843,0.032797754,0.071518179,3.74E+09
89.80474286,52.57181474,0.001527694,0.001580395,0.001636946,0.001698036,0.001763876,0.001836195,0.001914383,0.001998996,0.002093663,0.002196395,0.002308312,0.002436747,0.002577678,0.002733283,0.002917817,0.003123463,0.003355077,0.003644438,0.003974121,0.004357774,0.004884724,0.005505987,0.006282905,0.007616906,0.009287863,0.011349436,0.014491799,0.020112639,0.032630319,0.071153074,3.74E+09
0,179.99964,0.00144611,0.001495997,0.001549528,0.001607355,0.00166968,0.001738137,0.001812149,0.001892243,0.001981855,0.002079101,0.002185041,0.002306617,0.002440022,0.002587318,0.002761997,0.00295666,0.003175905,0.003449814,0.003761891,0.004125056,0.004623865,0.005211951,0.005947379,0.00721014,0.008791863,0.010743342,0.013717894,0.019038564,0.030887762,0.067353287,3.74E+09
46.69141737,149.5715813,0.001473217,0.001524039,0.001578573,0.001637484,0.001700977,0.001770717,0.001846117,0.001927712,0.002019004,0.002118073,0.002225999,0.002349853,0.002485758,0.002635815,0.002813768,0.003012081,0.003235436,0.003514479,0.003832405,0.004202377,0.004710536,0.005309646,0.006058859,0.007345289,0.008956661,0.010944719,0.013975027,0.019395429,0.031466733,0.068615779,3.74E+09
